index,date_start,date_end,date,era,event,Source,type
226,794,794,794,Medieval,Heian period in Japan. Considered to be the last classical period of History of Japan. Chinese influence was at its strongest during this era in Japan.,,Politics & Power
227,795-07-29,795-07-29,29 July 795,Medieval,Death of Offa. Marks the end of Mercian dominance in England.,,Politics & Power
228,800-12-25,800-12-25,25 December 800,Medieval,Charlemagne is crowned Holy Roman Emperor. With his crowning Charlemagne's kingdom is officially recognized by the Papacy as the largest in Europe since the fall of the Roman Empire.,,Politics & Power
229,800,800,800,Medieval,Gunpowder is invented in China by Taoist alchemists searching for an elixir of immortality.,,Science & Technology
230,814-01-28,814-01-28,28 January 814,Medieval,Death of Charlemagne. This would be a factor towards the splitting of his empire within a generation.,,Politics & Power
231,820,820,820,Medieval,Algebrae et Alumcabola Algorithm Muhammad ibn Musa- al-Khwarizmi,,Politics & Power
232,825,825,825,Medieval,Battle of Ellandun. Egbert defeats Mercians. Wessex becomes the leading kingdom of England.,,War & Conflict
233,827,827,827,Medieval,Muslims invade Sicily. First encounter of attempts to conquer Byzantine Sicily until the last Byzantine outpost was conquered in 965.,,Politics & Power
234,840,840,840,Medieval,Muslims capture Bari and much of southern Italy.,,Politics & Power
235,843,843,843,Medieval,Division of Charlemagne's Empire between his grandsons with the Treaty of Verdun. Sets the stage for the founding of the Holy Roman Empire and France as separate states.,,Politics & Power
236,843,843,843,Medieval,"Kenneth McAlpin becomes king of the Picts and Scots, creating the Kingdom of Alba.",,Politics & Power
237,862,862,862,Medieval,"Viking state in Russia founded under Rurik, first at Novgorod, then Kiev.",,Politics & Power
238,864,864,864,Medieval,Christianization of Bulgaria.,,Religion
239,866,866,866,Medieval,Fujiwara period in Japan. Would become the most powerful clan during the Heian period in Japan for around three centuries.,,Politics & Power
240,866,866,866,Medieval,"Viking Great Army arrives in England. Northumbria, East Anglia, and Mercia were overwhelmed. ",,War & Conflict
241,868,868,868,Medieval,Earliest known printed book in China with a date.,,Politics & Power
242,871,871,871,Medieval,"Alfred the Great assumes the throne, the first king of a united England. He defended England from Viking invaders, formed new laws and fostered a rebirth of religious and scholarly activities.",,Politics & Power
243,870,875,c. 872,Medieval,Harold Fairhair becomes King of Norway.,,Politics & Power
244,874,874,874,Medieval,Iceland is settled by Norsemen.,,Politics & Power
245,882,882,882,Medieval,"Kievan Rus' is established. It would be sustained through numerous challenges, peaking during the reign of Yaroslav the Wise, before ultimately falling to the Mongol invasion.",,War & Conflict
246,885,885,885,Medieval,Arrival of the disciples of Saints Cyril and Methodius in Bulgaria. In the following decades the country became the cultural and spiritual centre of the Eastern Orthodox part of the Slavic World.,,Politics & Power
247,885,886,885–886,Medieval,Vikings attack Paris.,,Politics & Power
248,893,893,893,Medieval,Emperor Simeon I becomes ruler of the First Bulgarian Empire in the Balkans. Under his rule falls the golden age of the First Bulgarian Empire and the invention of the Cyrillic Script. ,,Science & Technology
249,896,896,896,Medieval,Arpad and the Magyars are present in Pannonia.,,Politics & Power
250,899-10-27,899-10-27,27 October 899,Medieval,Death of Alfred the Great King of the Anglo-Saxon. Being learned he proposed that priamry education be conducted in Old English instead of Latin.,,Politics & Power
251,880,920,c. 900,Medieval,Lowland Maya cities in the south collapse. Signifies the end of the Classic Period of Maya history. The Maya in northern Yucatán continue to thrive. ,,Politics & Power
252,907,907,907,Medieval,Tang Dynasty ends with Emperor Ai deposed. The Five Dynasties and Ten Kingdoms period in China commences. ,,Politics & Power
253,910,910,910,Medieval,"King Edward the Elder of England, son of King Alfred, defeats the Northumbrian Vikings at the Battle of Tettenhall; they never raid south of the River Humber again.",,War & Conflict
254,910,910,910,Medieval,"Cluny Abbey is founded by William I, Count of Auvergne. Cluny goes on to become the acknowledged leader of Western Monasticism. Cluniac Reforms initiated with the abbey's founding.",,Politics & Power
255,911,911,911,Medieval,"The Viking Rollo and his tribe settle in what is now Normandy by the terms of the Treaty of Saint-Clair-sur-Epte, founding the Duchy of Normandy.",,Politics & Power
256,917,917,917,Medieval,Battle of Anchialus. Simeon I the Great defeats the Byzantines. Recognition of the Imperial Title of the Bulgarian rulers.,,War & Conflict
257,919,919,919,Medieval,"Henry the Fowler, Duke of Saxony elected German King.  First king of the Ottonian Dynasty. Henry I considered the founder and first king of the medieval German state.",,Politics & Power
258,925,925,925,Medieval,"The first King of Croatia (rex Croatorum), Tomislav of the Trpimirović dynasty was crowned. Tomislav united Croats of Dalmatia and Pannonia into a single Kingdom, and created a sizeable state.",,Politics & Power
259,927,927,927,Medieval,"King Aethelstan the Glorious unites the heptarchy of The Anglo-Saxon  nations of Wessex, Sussex, Essex, Kent, East Anglia, Mercia and Northumbria founding the Kingdom of England.",,Politics & Power
260,927,927,927,Medieval,"Death of Simeon I the Great. Recognition of the Bulgarian Patriarchate, the first independent National Church in Europe.",,Religion
261,929,929,929,Medieval,Abd-ar-Rahman III of the Umayyad dynasty in al-Andalus (part of the Iberian peninsula) takes the title of Caliph or ruler of the Islamic world. This marks the beginning of the Caliphate of Córdoba.,,Religion
262,936,936,936,Medieval,Wang Geon unifies Goryeo (Korea) which ends the Later Three Kingdoms Era.,,Politics & Power
263,938,938,938,Medieval,Ngo Quyen won the battle of Bach Dang against the Chinese Southern Han army. This event marked the independence of Vietnam after centuries of Chinese domination.,,War & Conflict
264,955,955,955,Medieval,"Battle of Lechfeld. Otto the Great, son of Henry the Fowler, defeats the Magyars. This is the defining event that prevents the Hungarians from entering Central Europe.",,War & Conflict
265,940,980,c. 960,Medieval,Mieszko I becomes duke of Polans. First historical ruler of Poland and de facto founder of the Polish State.,,Politics & Power
266,960,960,960,Medieval,"Song Dynasty begins after Emperor Taizu usurps the throne from the Later Zhou, last of the Five Dynasties. A lengthy period of Song rule goes underway.",,Politics & Power
267,962,962,962,Medieval,Otto the Great crowned the Holy Roman Emperor. First to be crowned Holy Roman Emperor in nearly 40 years.,,Politics & Power
268,963,964,963–964,Medieval,Otto deposes Pope John XII who is replaced with Pope Leo VIII. Citizens of Rome promise not to elect another Pope without Imperial approval.,,Religion
269,965,967,965–967,Medieval,"Mieszko I of Poland and his court embrace Christianity, which becomes national religion.",,Religion
270,969,969,969,Medieval,John I Tzimiskes and Nikephoros II are executed. Sultane of Rums are proclaimed.,,Politics & Power
271,976,976,976,Medieval,Death of John I Tzimiskes Under Basil II zenith of the power of Eastern Empire after Justinian.,,Politics & Power
272,978,978,978,Medieval,Al-Mansur Ibn Abi Aamir becomes de facto ruler of Muslim Al-Andalus. Peak of power of Moorish Iberia under Almanzor.,,Politics & Power
273,981,981,981,Medieval,Basil II (called Bulgar Slayer) begins final conquest of Bulgaria by Eastern Empire.,,Politics & Power
274,985,985,985,Medieval,"Eric the Red, exiled from Iceland, begins Scandinavian colonization of Greenland.",,Exploration
275,987,987,987,Medieval,Succession of Hugh Capet to the French Throne. Beginning of Capetian Dynasty.,,Politics & Power
276,988,988,988,Medieval,"Volodymyr I of Kiev embraces Christianity, which becomes national religion.",,Religion
277,989,989,989,Medieval,Peace and Truce of God formed. The first movement of the Catholic Church using spiritual means to limit war and the first movement in medieval Europe to control society through non-violent means.,,War & Conflict
278,1000,1002,c. 1001,Medieval,Leif Ericson is to settle during the winter in present-day Canada at L'Anse aux Meadows. Ericson is to be the first European to settle in the Americas during the Norse exploration of the Americas.,,Exploration
279,1016,1016,1016,Medieval,"Canute the Great becomes King of England after the death of Edmund Ironside, with whom he shared the English throne. Danes remain kings of England for the next 26 years.",,Politics & Power
280,1018,1018,1018,Medieval,The Byzantines under Basil II conquer Bulgaria after a bitter 50-years struggle. Concludes the Byzantine conquest of Bulgaria.,,Politics & Power
281,1021,1021,1021,Medieval,"The Tale of Genji, by Murasaki Shikibu, is completed in Japan. It is sometimes called the world's first (modern) novel, or the first psychological novel.",,Culture & Arts
282,1025,1025,1025,Medieval,The Canon of Medicine by the Persian scholar Avicenna sets the standard medical textbook for European universities for centuries.,,Politics & Power
283,1037,1037,1037,Medieval,The Great Seljuk Empire is founded by Tughril Beg. Would be a major force during the first two Crusades and an antagonist to the Byzantine Empire over the next century.,,War & Conflict
284,1049,1049,1049,Medieval,"Pope Leo IX ascends to the papal throne. Leo IX was the pope that excommunicated Patriarch of Constantinople, Michael Cerularius (who also excommunicated Leo), which caused the Great Schism.",,Religion
285,1050,1050,1050,Medieval,"The astrolabe, an ancient tool of navigation, is first used in Europe. Early tool of marine navigators, astrologers, astronomers.",,Politics & Power
286,1050,1050,1050,Medieval,Westminster Abbey Edward the Confessor,,Politics & Power
287,1054,1054,1054,Medieval,The East-West Schism which divided the church into Western Catholicism and Eastern Orthodoxy. Tensions will vary between the Catholic and Orthodox churches throughout the Middle Ages.,,Religion
288,1066,1066,1066,Medieval,"William the Conqueror, Duke of Normandy, invades England and becomes King after the Battle of Hastings. End of Anglo-Saxon rule in England and start of Norman lineage.",,War & Conflict
289,1067,1067,1067,Medieval,Pope Gregory VII elevated to the papal throne. This begins a period of church reform.,,Religion
290,1071,1071,1071,Medieval,"The Seljuks under Alp Arslan defeat the Byzantine army at Manzikert. The Normans capture Bari, the last Byzantine possession in southern Italy. Beginning of the end of Byzantine rule in Asia Minor.",,War & Conflict
291,1075,1075,1075,Medieval,"Dictatus Papae in which Pope Gregory VII defines the powers of the pope. Peak of the Gregorian Reform, and an immense factor in the Investiture Controversy.",,Religion
292,1077,1077,1077,Medieval,"Holy Roman Emperor Henry IV  walks to Canossa where he stands barefoot in the snow to beg forgiveness of the Pope for his offences, and admitting defeat in the Investiture Controversy.",,War & Conflict
293,1077,1077,1077,Medieval,The Construction of the Tower of London begins. The tower of London was the ultimate keep of the British Empire.,,Politics & Power
294,1086,1086,1086,Medieval,"The compilation of the Domesday Book, a great land and property survey commissioned by William the Conqueror to assess his new possessions. This is the first such undertaking since Roman times.",,Politics & Power
295,1088,1088,1088,Medieval,University of Bologna is formed. It is the oldest university in Europe.,,Politics & Power
296,1095,1095,1095,Medieval,"Pope Urban issues the Crusades to capture the Holy Land, and to repel the Seljuk Turks from the Byzantine Empire from Alexios I Komnenos.",,War & Conflict
297,1098,1098,1098,Medieval,The Cistercian Order is founded. Was a return to the original observance of the Rule of St. Benedict.,,Politics & Power
298,1099,1099,1099,Medieval,First Crusade. Jerusalem is re-taken from the Muslims on the urging of Pope Urban II and the Kingdom of Jerusalem is formed. It last for nearly two centuries.,,War & Conflict
299,1100,1100,1100,Medieval,"Latin-translation of the great masters of Arabic medicine: Rhazes, Ishaq Ibn Imran, Ibn Suleiman, and Ibn al-Jazzar Constantine the African",,Politics & Power
300,1102,1102,1102,Medieval,"The Kingdom of Croatia and the Kingdom of Hungary formed a personal union under the Hungarian king, creating an alliance that endured for centuries.",,Politics & Power
301,1102,1102,1102,Medieval,"Synods of Westminster End of simony, clerical marriages, slavery under Anselm of Canterbury",,Politics & Power
302,1106-09-28,1106-09-28,28 September 1106,Medieval,"Henry I of England defeats his older brother Robert Curthose, duke of Normandy, at the Battle of Tinchebrai, and imprisons him in Devizes castle.",,War & Conflict
303,1107,1107,1107,Medieval,"Through the compromise, suggested by Adela, the sister of King Henry, the Investiture Struggle in England is ended it eases friction between the English monarchy and the Catholic Church.",,Religion
304,1109,1109,1109,Medieval,"In the Battle of Naklo, Boleslaus III Wrymouth defeats the Pomeranians. Polish access to the sea is re-established.",,War & Conflict
305,1109-08-24,1109-08-24,24 August 1109,Medieval,"In the Battle of Hundsfeld, Boleslaus III Wrymouth defeats Emperor Henry V. German expansion to the centre of Europe is stopped.",,War & Conflict
306,1116,1116,1116,Medieval,The Byzantine army defeats the Turks at Philomelion. The Turks abandon the entire coastal area of Anatolia and all of western Anatolia,,War & Conflict
307,1117,1117,1117,Medieval,The University of Oxford is founded. It is the oldest university in the United Kingdom.,,Politics & Power
308,1118,1118,1118,Medieval,"The Knights Templar are founded to protect Jerusalem and European pilgrims on their journey to the city. Becomes the most recognizable, and impactful military orders during the Crusades.",,War & Conflict
309,1121-12-25,1121-12-25,25 December 1121,Medieval,"St. Norbert and 29 companions make their solemn vows marking the beginning of the Premonstratensian Order. This order played a significant role in evangelizing the Slavs, and the Wends.",,Politics & Power
310,1122-09-23,1122-09-23,23 September 1122,Medieval,The Concordat of Worms was drawn up between Emperor Henry V and Pope Calixtus II. This concordat ended the investiture struggle but bitter rivalry between emperor and pope remained.,,Religion
311,1123-03-18,1123-03-27,18 March – 27 March 1123,Medieval,The First Lateran Council followed and confirmed the Concordat of Worms.,,Politics & Power
312,1125,1125,1125,Medieval,School of Glossators Irnerius,,Politics & Power
313,1125,1125,1125,Medieval,"Lothair of Supplinburg, duke of Saxony, is elected Holy Roman Emperor instead, Frederick of Swabia. This election marks the beginning of the great struggle between the Guelfs and the Ghibellines.",,Politics & Power
314,1125,1127,1125–1127,Medieval,"Jingkang Incident The Jurchen soldiers sack Kaifeng, bringing an end to the Northern Song Dynasty in China; the Song moves further south and makes Lin'an their new capital.",,Politics & Power
315,1130-12-25,1130-12-25,25 December 1130,Medieval,"Roger II is crowned King of Sicily, a Royal title given him by the Antipope Anacletus II. This marks the beginning of the Kingdom of Sicily of Norman kings.",,Religion
316,1130,1130,1130,Medieval,Sic et Non Peter Abelard,,Politics & Power
317,1135,1135,1135,Medieval,"The Anarchy begins in England — a prolonged period of strife and Civil War between the supporters of Stephen and Matilda, ending with the crowning of Matilda's son, Henry II.",,War & Conflict
318,1139-04-01,1139-04-30,April 1139,Medieval,"The Second Lateran Council enforces Gergory VII’s campaign by declaring clerical marriages invalid, regulated clerical dress, and punished attacks on clerics by excommunication.",,Politics & Power
319,1140,1140,1140,Medieval,Decretum Gratian,,Politics & Power
320,1144,1144,1144,Medieval,Rebuild of Basilica of Saint Denis Suger,,Politics & Power
321,1147,1149,1147–1149,Medieval,"The Second Crusade was in retaliation for the fall of Edessa, one of the first Crusader States founded in the First Crusade. The first Crusade been led by European kngs was an overall failure.",,War & Conflict
322,1150,1150,1150,Medieval,"Ramon Berenguer IV, Count of Barcelona, married Queen Petronilla of Aragon. This marriage gave the Kingdom of Aragon access to the Mediterranean Sea.",,Politics & Power
323,1150,1150,1150,Medieval,Founding of the University of Paris,,Politics & Power
324,1152,1152,1152,Medieval,The Synod of Kells-Mellifont established the present diocesan system of Ireland and recognized the primacy of Armagh. The Irish Church is included into mainstream European Catholicism.,,Religion
325,1154,1154,1154,Medieval,Common Law Henry II,,Politics & Power
326,1158,1158,1158,Medieval,The Hanseatic League is founded. This marks a new period of trade and economic development for northern and central Europe.,,Politics & Power
327,1163,1163,1163,Medieval,The first cornerstone is laid for the construction of Notre Dame de Paris.,,Politics & Power
328,1166,1166,1166,Medieval,"Stefan Nemanja united Serbian territories, establishing the Medieval Serbian state marking the rise of Serbia which will dominate the Balkans for the next three hundred years.",,Politics & Power
329,1171,1171,1171,Medieval,King Henry II of England lands in Ireland to assert his supremacy. This begins the English claim to and occupation of Ireland which would last some seven and a half centuries.,,Politics & Power
330,1174-07-12,1174-07-12,12 July 1174,Medieval,"King William I of Scotland, captured in the Battle of Alnwick by the English, accepts the feudal lordship of the English crown. This is the beginning of the acquisition of Scotland by the English.",,War & Conflict
331,1175,1175,1175,Medieval,Hōnen Shōnin (Genkū) founds the Jōdo shū (Pure Land) sect of Buddhism. This event marks the beginning of the Buddhist sectarian movement in Japan.,,Religion
332,1175,1175,1175,Medieval,Gerard of Cremona translates the Arabic version of Ptolemy's Almagest,,Politics & Power
333,1176-05-29,1176-05-29,29 May 1176,Medieval,"At the Battle of Legnano, the Lombard League's infantry defeats Federick Barbarossa's cavalry – the first major defeat of cavalry by infantry, signaling the new role of the bourgeoisie.",,War & Conflict
334,1179,1179,1179,Medieval,Third Council of the Lateran,,Politics & Power
335,1179-03-01,1179-03-31,March 1179,Medieval,"The Third Lateran Council limits papal electees to the cardinals alone, condemns simony, and forbids the promotion of anyone to the episcopate before the age of thirty.",,Politics & Power
336,1183,1183,1183,Medieval,"The final Peace of Constance between Frederick Barbarossa, the pope, and the Lombard towns is signed.",,Religion
337,1183,1183,1183,Medieval,The Taira clan are driven out of Kyōto by Minamoto Yoshinaka. The conflict which follows ends at the Battle of Dan no Ura with the annihilation of the Taira.,,War & Conflict
338,1184-11-01,11841-10-30,November 1184,Medieval,Pope Lucius III issues the papal bull Ad Abolendam. This bull set up the organization of the medieval inquisitions.,,Religion
339,1185,1185,1185,Medieval,Windmills are first recorded.,,Politics & Power
340,1185,1185,1185,Medieval,Uprising of Asen and Peter. The reestablishment of the Bulgarian Empire.,,War & Conflict
341,1185,1185,1185,Medieval,"At the Battle of Dan no Ura, Minamoto Yoshitsune annihilates the Taira clan which leaves Minamoto the rulers of Japan and marks the beginning of feudal rule known as the Kamakura Period.",,War & Conflict
342,1176-05-29,1176-05-29,27 January 1186,Medieval,"The future emperor Henry VI marries Constance of Sicily, heiress to the Sicilian throne. This marriage shifts the focus of the Guelphs/Ghibelline struggle to Sicily.",,Politics & Power
343,1187,1187,1187,Medieval,Saladin recaptures Jerusalem. Would lead to the Third Crusade.,,War & Conflict
344,1188,1188,1188,Medieval,Tractatus of Glanvil Oxford University,,Politics & Power
345,1189-07-06,1189-07-06,6 July 1189,Medieval,Richard I (Cœur de Lion) ascends the throne of England. He levies heavy taxes to finance his European creates antipathy towards the crown but his being absent enabled political developments.,,Politics & Power
346,1189,1192,1189–1192,Medieval,The Third Crusade follows upon Saladin's uniting the Muslim world and recapturing Jerusalem. Despite managing to win several major battles. the Crusaders did not recapture Jerusalem.,,War & Conflict
347,1192,1192,1192,Medieval,"Minamoto no Yoritomo is appointed Sei-i Taishōgun, or shōgun for short. He is the first of a long line of military dictators to bear this title, an institution that would define Japan for centuries.",,Politics & Power
348,1193,1193,1193,Medieval,Muhammad bin Bakhtiyar Khilji sack and burn the university at Nalanda. This is the beginning of the decline of Buddhism in India.,,Religion
349,1193,1193,1193,Medieval,The first known merchant guild.,,Politics & Power
350,1195,1195,1195,Medieval,Battle of Alarcos The Almohad Caliphate decisively defeat the Kingdom of Castile. The Almohads pushed Christians to the north and stablished themselves as the supreme power in Al-Andalus,,War & Conflict
351,1199,1199,1199,Medieval,Europeans first use compasses.,,Politics & Power
352,1202,1202,1202,Medieval,"The Fourth Crusade sacked Croatian town of Zadar, a rival of Venice, despite letters from Pope Innocent III forbidding it. This marks the first attack against a Catholic city by Catholic crusaders.",,War & Conflict
353,1204,1204,1204,Medieval,Sack of Constantinople during the Fourth Crusade. Considered to be the beginning of the decline of the Byzantine Empire.,,War & Conflict
354,1205,1205,1205,Medieval,Battle of Adrianople. The Bulgarians under Emperor Kaloyan defeat Baldwin I. Beginning of the decline of the Latin Empire.,,War & Conflict
355,1206,1206,1206,Medieval,"Genghis Khan was elected as Khagan of the Mongols and the Mongol Empire was established. The Mongols would conquer much of Eurasia, changing former political borders.",,Politics & Power
356,1208,1208,1208,Medieval,Pope Innocent III calls for the Albigensian Crusade which seeks to destroy a rival form of Christianity practiced by the Cathars.,,War & Conflict
357,1209,1209,1209,Medieval,The University of Cambridge is founded.,,Politics & Power
358,1209,1209,1209,Medieval,Founding of the Franciscan Order. One of the more significant orders in the Roman Catholic church. founded by Saint Francis of Assisi.,,Religion
359,1212,1212,1212,Medieval,"Spanish Christians succeed in defeating the Moors in the long Reconquista campaigns, after the Battle of Las Navas de Tolosa.",,War & Conflict
360,1215-06-15,1215-06-15,15 June 1215,Medieval,The Magna Carta is sealed by John of England. This marks one of the first times a medieval ruler is forced to accept limits on his power.,,Politics & Power
361,1215,1215,1215,Medieval,"Fourth Lateran Council. Dealt with transubstantiation, papal primacy and conduct of clergy. Proclaimed that Jews and Muslims should wear identification marks to distinguish them from Christians.",,Religion
362,1216,1216,1216,Medieval,Papal recognition of the Dominican Order.,,Politics & Power
363,1219,1219,1219,Medieval,"Serbian Orthodox Church becomes autocephalous under St. Sava, its first Archbishop.",,Religion
364,1227-08-18,1227-08-18,18 August 1227,Medieval,Genghis Khan dies. His kingdom is divided among his children and grandchildren some of which later form the Golden Horde.,,Politics & Power
365,1237,1240,1237–1240,Medieval,"Mongol invasion of Rus' resumes. Causes the split of Kievan Rus' into three components (present day Russia, Ukraine, Belarus).",,War & Conflict
366,1257,1257,1257,Medieval,Opening of the College of Sorbonne.,,Politics & Power
367,1257,1257,1257,Medieval,Provisions of Oxford forced upon Henry III of England. This establishes a new form of government-limited regal authority.,,Politics & Power
368,1258-01-29,1258-02-10,29 January – 10 February 1258,Medieval,Siege of Baghdad by Ilkhanate Mongol forces Mongols (the Ilkhanate) ensure control of the region.  Generally considered the end of the Islamic Golden Age.,,War & Conflict
369,1258,1258,1258,Medieval,The first Mongol invasion of Vietnam The Mongol army was defeated by emperor Tran Thai Tong of Đại Việt,,War & Conflict
370,1272,1273,1272–1273,Medieval,The Ninth Crusade occurs. Considered to be the Last Major Crusade to take place in the Holy Land.,,War & Conflict
371,1273-09-29,1273-09-29,29 September 1273,Medieval,Rudolph I of Germany is elected Holy Roman Emperor. This begins the Habsburg de facto domination of the imperial crown that would last until its eventual dissolution.,,Politics & Power
372,1274,1274,1274,Medieval,"Thomas Aquinas' work, Summa Theologica is published, after his death. Is the main staple of theology during the Middle Ages.",,Religion
373,1279-03-19,1279-03-19,19 March 1279,Medieval,"Battle of Yamen. Marks the end of the Song Dynasty in China, and all of China is under the rule of Kublai Khan as the emperor.",,War & Conflict
374,1282,1282,1282,Medieval,"Sicilian Vespers. Sicilians massacre Angevins over a six-week period, after a Frenchman harassed a woman.",,War & Conflict
375,1283,1283,1283,Medieval,First regulated Catalan Courts are formed. Presided by king Peter III of Aragon they become the model for medieval parliaments.,https://en.wikipedia.org/wiki/Catalan_Courts,Politics & Power
376,1285,1285,1285,Medieval,The second Mongol invasion of Vietnam The Mongol army was defeated by emperor Tran Nhan Tong and general Tran Hung Dao.,,War & Conflict
377,1287,1287,1287,Medieval,The third Mongol invasion of Vietnam Decisive Vietnam victory. To avoid further conflict Đại Việt agreed to a tributary relationship with the Yuan dynasty,,War & Conflict
378,1296,1296,1296,Medieval,"Edward I of England invades Scotland, starting the First War of Scottish Independence.",,War & Conflict
379,1297-09-11,1297-09-11,11 September 1297,Medieval,The Battle of Stirling Bridge. William Wallace emerges as the leader of the Scottish resistancce to England.,,War & Conflict
380,1298,1298,1298,Medieval,"Marco Polo publishes his tales of China, along with Rustichello da Pisa. A key step to the bridging of Asia and Europe in trade.",,Politics & Power
381,1299-07-27,1299-07-27,27 July 1299,Medieval,"The Ottoman Empire is founded by Osman I. It becomes the longest-lasting Islamic Empire, eventually growing to span three continents.",,Religion
382,1305-08-23,1305-08-23,23 August 1305,Medieval,William Wallace is executed for treason.,,Politics & Power
383,1307-10,1307-10,13 October 1307,Medieval,"The Knights Templar are rounded up and murdered by Philip the Fair of France, with the backing of the Pope. Hastens the demise of the order within a decade.",,Religion
384,1307,1307,1307,Medieval,"The Popes move to Avignon and begin the Babylonian Captivity. The papacy remains there for several decades, which eventually leads to the Western Schism.",,Religion
385,1310,1310,1310,Medieval,"Dante publishes his Divine Comedy. Is one of the most defining works of literature during the Late Middle Ages, and among the most recognizable in all of literature.",,Culture & Arts
386,1314-06,1314-06,23–24 June 1314,Medieval,Battle of Bannockburn. Robert the Bruce restores Scotland's de facto independence.,,War & Conflict
387,1323,1323,1323,Medieval,Romance of the three kingdoms,,Politics & Power
388,1325,1325,1325,Medieval,The Mexica found the city of Tenochtitlan. This would later become the epicentre and capital of the Aztec Empire until its eventual conquest by Spanish forces.,,Politics & Power
389,1328,1328,1328,Medieval,The First War of Scottish Independence ends in Scottish victory with the Treaty of Edinburgh-Northampton and de jure independence.,,War & Conflict
390,1333,1333,1333,Medieval,"Emperor Go-Daigo returns to the throne from exile, and begins the Kenmu restoration ending the Kamakura Shogunate. It only lasts a few years before the Ashikaga Shogunate begins.",,Politics & Power
391,1337,1337,1337,Medieval,The Hundred Years' War begins. England and France struggle for a dominating position in Europe across several distinct phases of conflict.,,War & Conflict
392,1346-08,1346-08,26 August 1346,Medieval,"Battle of Crécy. English forces led by Edward III and Edward, the Black Prince defeat the French forces of Philip VI despite being outnumbered at least 4 to 1 thanks to the longbow.",,War & Conflict
393,1347,1347,1347,Medieval,"The Black Death ravages Europe for the first of many times. In the first year 20% – 40% of the population perishes, and it eventually kills over half of the population of Europe.",,Politics & Power
394,1347,1347,1347,Medieval,The University of Prague is founded. It is the oldest Czech and German-Speaking University in the world,,Politics & Power
395,1368,1368,1368,Medieval,"The fall of the Yuan Dynasty. Its remnants, known as Northern Yuan, continued to rule Mongolia. The breakup of the Mongol Empire, which marked the end of Pax Mongolica.",,Politics & Power
396,1370,1370,1370,Medieval,Tamerlane establishes the Timurid Dynasty and proceeds to ravage fellow Islamic states such as the Golden Horde and the Delhi Sultanate in his drive to restore Mongol dominance.,,Religion
397,1378,1378,1378,Medieval,The Western Schism during which three claimant popes were elected simultaneously. The Avignon Papacy ends.,,Religion
398,1380,1380,1380,Medieval,Prince Dmitry Donskoy of Moscow led a united Russian army to a victory over the Mongols in the Battle of Kulikovo.,,War & Conflict
399,1380,1380,1380,Medieval,Chaucer begins to write The Canterbury Tales. Chaucer's greatest work and one of the foundations towards the formation of the Modern English language,,Politics & Power
400,1381,1381,1381,Medieval,Peasants' Revolt in England. Quickest-spread revolt in English history and the most popular revolt of the Late Middle Ages.,,War & Conflict
401,1381,1381,1381,Medieval,"The Bible is translated into English by John Wycliffe, marking the first complete Bible translation into English (Middle English).",,Religion
402,1386-10-18,1386-10-18,18–19 October 1386,Medieval,The University of Heidelberg is founded. It is the oldest university in Germany.,,Politics & Power
403,1389-06,1389-06,28 June 1389,Medieval,"Battle of Kosovo in Serbia between the Turks (Sultan Murat) and the Christian army led by the Serbs (Duke Lazar). The Turkish empire continued to spread over the Balkans, and reaches Vienna.",,War & Conflict
404,1392,1392,1392,Medieval,Joseon Dynasty founded in Korea. Becomes longest reigning Korean dynasty.,,Politics & Power
405,1396,1396,1396,Medieval,The Battle of Nicopolis. The last great Crusade fails. Bulgaria was conquered by the Ottomans,,War & Conflict
406,1397,1397,1397,Medieval,"The Kalmar Union is formed. Queen Margaret I of Denmark unites Denmark, Sweden, and Norway under one crown.",,Politics & Power
407,1399,1399,1399,Medieval,"Richard II abdicates the throne to Henry of Bolingbroke, who becomes Henry IV of England. End of Plantagenet Dynasty, beginning of the Lancaster lineage of kings.",,Politics & Power
408,1402-07,1402-07,20 July 1402,Medieval,"Battle of Ankara Bayezid I is captured by Tamerlane's forces, causing the interregnum of the Ottoman Empire.",,War & Conflict
409,1405,1405,1405,Medieval,Chinese naval expeditions of Southeast Asia and the Indian Ocean (to Eastern Africa) begin under Zheng He. This will be the first of seven of the Ming Dynasty-sponsored expeditions.,,Exploration
410,1410,1410,1410,Medieval,Battle of Grunwald Major turning point in history of Lithuania Poland and the Teutonic Order.,,War & Conflict
411,1415,1415,1415,Medieval,Kingdom of Portugal conquers Ceuta. Beginning of the Portuguese Empire. Beginning of the Age of Discovery.,,Politics & Power
412,1415-10,1415-10,25 October 1415,Medieval,"Battle of Agincourt. Henry V and his army defeat a numerically superior French army, partially because of the newly introduced English longbow. The turning point in the Hundred Years' War for England.",,War & Conflict
413,1417,1417,1417,Medieval,The Council of Constance ends. The Western Schism comes to a close and elects Pope Martin V as the sole pope.,,Religion
414,1419,1419,1419,Medieval,"Hussite Wars begin after four years after the death of Jan Hus in central Europe, dealing with the followers of Jan Hus and those against them.",,War & Conflict
415,1428,1428,1428,Medieval,"Itzcoatl, the fourth Mexica king in Tenochtitlán, allied with Texcoco and Tlacopan, defeats Azcapotzalco. Signifies the birth of the Aztec Empire and the start of a 90 years aggressive expansion.",,War & Conflict
